name,family,k,rho,cp,nu_cSt,beta,B_visc,bp_C,flash_C,dielectric,bdv_kV,notes,review
FC-72,Fluorocarbon,0.057,1680,1100.0,0.38,0.0015,1500.0,56.0,,True,37.5,Two-phase immersion cooling fluid,CORRECTED: 3M datasheet gives 0.64 cP / 0.38 cSt (values were swapped/scaled). Resistivity is 1.0E15 ohm-cm = 1E13 ohm-m (unit mix-up). Breakdown ~38 kV (0.1 in gap) OK.
Transformer oil,Mineral hydrocarbon,0.13,875,1900.0,9.8,0.00075,3200.0,280.0,150.0,True,50.0,Excellent dielectric insulation,"Values plausible. Vol. heat capacity now formula-driven (875 x 1.9 = 1.66, was 1.70). Viscosity varies by grade (~9-20 cSt at 25 C)."
Mineral oil,Hydrocarbon,0.13,850,1850.0,20.0,0.00075,3200.0,300.0,160.0,True,42.5,Common low-cost immersion coolant,"Vol. heat capacity was inconsistent: 850 x 1.85 = 1.57, not 1.65. Now formula-driven."
CFX70,Synthetic dielectric fluid,0.1,820,2000.0,3.0,0.00075,3200.0,70.0,100.0,True,40.0,Engineered immersion cooling fluid,Could not verify against a public datasheet - confirm with vendor TDS.
AC-100 by Ampcool,Synthetic dielectric fluid,0.12,820,2100.0,4.0,0.00075,3200.0,180.0,150.0,True,42.5,Single-phase immersion fluid,Vendor-specific (Engineered Fluids AmpCool) - verify against current TDS; viscosity/flash values not confirmed.
AC-110,Synthetic dielectric fluid,0.12,830,2100.0,5.0,0.00075,3200.0,190.0,160.0,True,42.5,Immersion cooling fluid,Vendor-specific (Engineered Fluids AmpCool) - verify against current TDS; viscosity/flash values not confirmed.
AC-120,Synthetic dielectric fluid,0.12,840,2100.0,6.0,0.00075,3200.0,200.0,170.0,True,42.5,Higher flash point formulation,Vendor-specific (Engineered Fluids AmpCool) - verify against current TDS; viscosity/flash values not confirmed.
AC-130,Synthetic dielectric fluid,0.12,845,2100.0,7.0,0.00075,3200.0,210.0,175.0,True,42.5,High-temperature dielectric coolant,Vendor-specific (Engineered Fluids AmpCool) - verify against current TDS; viscosity/flash values not confirmed.
AC-140,Synthetic dielectric fluid,0.12,850,2100.0,8.5,0.00075,3200.0,220.0,180.0,True,42.5,"Higher viscosity, high flash point",Vendor-specific (Engineered Fluids AmpCool) - verify against current TDS; viscosity/flash values not confirmed.
E5-TM410,Synthetic ester,0.15,950,1900.0,6.0,0.00075,3200.0,300.0,250.0,True,50.0,Biodegradable dielectric ester,Could not verify against a public datasheet - confirm with vendor TDS.
